fleet_no;cost_centre;reg_no;category;group;body_type;status;area_available
1261;TAKV01-FLT;KZ27LCGP;TRAILER;;Dryfreight;;
1262;TAKV01-FLT;KZ40VKGP;TRAILER;;Dryfreight;;
1263;RENT01-FLT;LG25LBGP;4X2;UD-CRONER;Curtainside;;
1264;RENT01-FLT;LG25LHGP;4X2;UD CRONER;Curtainside;;
1265;RENT01-FLT;LH22GRGP;TRAILER;;Curtainside;;
1266;RENT01-FLT;LH22GYGP;TRAILER;REAR LINK;Curtainside;;
1267;RENT01-FLT;LH22GDGP;TRAILER;FRONT LINK;Curtainside;;
1268;RENT01-FLT;LH22GMGP;TRAILER;REAR LINK;Curtainside;;
1269;TAKV01-FLT;LG25LKGP;6X4;GEW440 6X4;;;
1270;TAKV01-FLT;LG25LSGP;6X4;GEW440 6X4;;;
1271;TAKV01-FLT;LG25LTGP;6X4;TGS 27-440;;;
1272;TAKV01-FLT;LG25LZGP;6X4;TGS 26-440;;;
1273;TAKV01-FLT;LJ36YTGP;6X4;TGS 26-440;;;
1274;TAKV01-FLT;LJ36YPGP;6X4;TGS 26-440;;;
1275;TAKV01-FLT;LJ36ZCGP;6X4;TGS 26-440;;;
1276;TAKV01-FLT;LK13NHGP;TRAILER;TRI-AXLE;Dryfreight;;
1277;TAKV01-FLT;LK13SHGP;TRAILER;TRI-AXLE;Dryfreight;;
1278;TAKV01-FLT;LK13STGP;TRAILER;TRI-AXLE;Dryfreight;;
1279;JHBT01-FLT;LJ86ZSGP;5 TON;NQR 500;Curtainside;;
1280;RBJV01-FLT;LJ86ZTGP;5 TON;NQR 500;Curtainside;;
1281;KELL01-FLT;LJ86ZXGP;5 TON;NQR 500;Curtainside;;
1282;IMPV01-FLT;LJ86ZZGP;5 TON;NQR 500;Curtainside;;
1283;TAKV01-FLT;LK09LFGP;8 TON;FTR 850;Dryfreight;;
1284;JHBT01-FLT;LK03FGGP;8 TON;FTR 850;Curtainside;;
1285;LNHV01-FLT;LK09KPGP;8 TON;FTR 850;Curtainside;;
1286;IMPV01-FLT;LK03FHGP;8 TON;FTR 850;Curtainside;;
1287;IMPV01-FLT;LK09KKGP;8 TON;FTR 850;Curtainside;;
1288;IMPV01-FLT;LK03FCGP;8 TON;FTR 850;Curtainside;;
1289;FLEE01-FLT;1289;8 TON;FTR 850;Dryfreight Taillift;;
1290;FLEE01-FLT;1290;8 TON;FTR 850;Dryfreight Taillift;;
